"","Special Weapons Assault Team — основы РБ (Разминирования Бомбы)","","","","","","","","","","","","","","","",""
"","Инструменты для разминирования бомбы","","","","","","","","","","","","","","","",""
"","Отвертка","","Индикаторая отвертка","","Кусачки","","Изолента","","Ножницы по металлу","","Глушилка  связи","","Прибор для расшифровки кода (дешифратор)","","","",""
"","Предназначена для ​откручивания болтов на корпусе взрывчатки, разборки механизма, и других винтовых работ.","","Предназначена для определения фазы в проводе, поиске сигнала от провода к детонатору.","","Предназначены для перерезания проводов и других мелких механизмов взрывчатого устройства","","Предназначена для изоляции оголенных проводов, соединения разорванных.","","Предназначены для перерезания крупных связок проводов, листовых металллов, защитных экранов бомб.","","Предназначена для подавления радиосигналов и радиочастот в радиусе 500 метров.","","Предназначен для расшифровки кода бомбы с кодовой панелью.","","","",""
"","Кошка для сдергивания мин","","","","","Саперная лопатка","","","","","Чеки для гранат","","","","","",""
"","Предназначена для сдергивания мин из песка, земли, других материалов. ","","","","","Предназначена для раскопки ям на полигоне, для расчистки земли вокруг мин, растяжек.","","","","","Предназначены для обезвреживания растяжек с грантами, у которых отсутствует чека.","","","","","",""
"","ПРАКТИКА ПО РАЗМИНИРОВАНИЮ","","","","","","","","","","","","","","","",""
"","ВЗРЫВЧАТОЕ УСТРОЙСТВО С МОБИЛЬНЫМ ТЕЛЕФОНОМ","","","","","ВЗРЫВЧАТОЕ УСТРОЙСТВО С ДИСТАНЦИОННЫМ УПРАВЛЕНИЕМ","","","","ВЗРЫВЧАТОЕ УСТРОЙСТВО С ЧАСОВЫМ МЕХАНИЗМОМ","","","","ВЗРЫВЧАТОЕ ВЕЩЕСТВО С КОДОВОЙ ПАНЕЛЬЮ","","",""
"","Для разминирования данного устройства , состоящего из телефона и взрывчатого вещества, вам понадобится саперный набор. Вам нужно включить глушилку связи для того, чтобы бомбу не смогли взорвать дистанционно. Потом достаете кусачки и перерезаете всю связку проводов. Затем просто забираете телефон с устройства, затем деактивируете бомбу спомощью телефона.","","","","","Для разминирования данного устройства вам понадобится саперный набор. Нужно включить глушилку связи для того, чтобы бомбу не смогли взорвать дистанционно. После спомощью отвертки снимаете корпус бомбы. Внутри вы увидете связку проводов и антенну устройства. Затем спомощью кусачек перерезаете провода. Не забудьте снять детонатор с бомбы. ","","","","Для разминирования данного устройства вам понадобится саперным набор. Первым делом вы снимаете корпус бомбы. Внутри бомбы вы сможете увидеть сеть проводов. Вторым делом вы спомощью кусачек оголяете один из проводов, затем спомощью индикаторной отвертки проверяете провод. Если индикатор загорается, то именно этот провод нужно перерезать. Если не загорается, то нужно будет проверить остальные провода. В случае отсутствия индикаторной отвертки, попробуйте проверить провода на температурный режим. Теплый провод нужно перерезать. После таймер бомбы остановится. Устройство обезврежено.","","","","Для разминирования данного устройства вам понадобится саперный набор. Первым делом вы снимаете корпус бомбы. Внутри бомбы вы сможете увидеть сеть проводов. Вторым делом вы спомощью кусачек оголяете один из проводов, затем спомощью индикаторной отвертки проверяете провод. Если индикатор загорается, то именно этот провод нужно перерезать. Если не загорается, то нужно будет проверить остальные провода. После того, как вы проделали данную процедуру, вы достаете дешифратор и подключаете его к проводу. Запустив дешифратор, ждете, пока на экране не появится код для деактивации. Для окончательного обезвреживания бомбы вводите код для деактивации взрывчатого устройства. 
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        ","","",""
"","МИНА НАПРАВЛЕННОГО ДЕЙСТВИЯ","","","","","МИНА НАЖИМНОГО ДЕЙСТВИЯ","","","","РАСТЯЖКА С ГРАНАТОЙ БЕЗ ЧЕКИ","","","","РАСТЯЖКА С ГРАНАТОЙ","","",""
"","Для разминирования понадобится саперный набор. Перед тем, как разминировать мину, осмотрите зону вокруг на наличие других. Находите конец проволоки растяжки , после спомощью кусачек аккуратно перерезаете конец растяжки в 20 см от взрывателя. Отходите на безопасное расстояние. Там вы достаете кошку для сдергивания мин и закидываете на мину, затем сдёргиваете и выворачиваете взрыватель мины. Устройство обезврежено. Не забудьте поместить его в бронированный кейс.","","","",""," Для разминирования понадобится саперный набор. Перед тем, как разминировать мину, осмотрите зону вокруг на наличие других. Аккуратно расчищаете мину от лишнего грунта, после отходите на безопасное расстояние. Там вы достаете кошку для сдергивания мин и закидываете на мину, затем сдёргиваете мину. В случае если мина не взорвалась - аккуратно удерживая корпус мины , выдергиваете нажимную панель из взрывателя. Устройтсво обезврежено. Не забудьте поместить его в бронированный кейс.","","",""," Для данной работы понадобится саперный набор. После того, как вы убедились в том, что на гранате нет чеки, быстрыми движениями блокируете рычаг запала. Вытаскиваете из саперного кейса чеку для гранаты и вставляете её в гранату. Разводите усики шплинта, после спомощью кусачек перерезаете проволоку. Растяжка обезврежена. Граната не представляет опасности. Не забудьте поместить её в бронированный кейс.","","",""," Для данной работы понадобится саперный набор. Быстрыми движениями блокируете рычаг запала. Самое главное тут то, чтобы чека от гранаты не выпала. Разводите усики шплинта, после спомощью кусачек перерезаете проволоку. Граната не представляет опасности. Не забудьте поместить её в бронированный кейс.","","",""
"","Полигон находится на заброшенном аэропорту","","","","","","","","","","","","","","","",""
"","Ликвидация любого взрывчатого вещества проводится исключительно на полигоне. Сначала берём сапёрную лопатку и выкапываем небольшую ямку, чтоб поместился бронированный кейс. Далее открываем кейс и достаём фугас с катушкой с набора сапёра и подсоединяем между собой провода фугаса с катушкой, затем фугас ложим в бронированный кейс, а катушку тащим за собой. Отходим на безопасное расстояние, раскручиваем катушку и нажимаем кнопку, производится взрыв и от взрывчатки не следа, берём лопатку и закапываем ямку, собираем свои вещи и возвращаемся на базу. ","","","","","","","","","","","","","","","",""
"","ПРАКТИКА УНИЧТОЖЕНИЯ ВЗРЫВЧАТЫХ УСТРОЙСТВ.","","","","","","","","","","","","","","","",""
"","Для данной работы вам нужно приехать на полигон с саперным набором. Достаете саперную лопатку, после вскапываете небольшую яму вглубь. Достаете фугас и катушку из набора, после присоединяете провод от фугаса к катушке. Кладете фугас в кейс, а катушку перетаскиваете за собой, тем самым отходите на безопасное расстояние. На безопасном расстоянии нажимаете на кнопку. Взрывчатое устройство сдетонировало. Не забудьте закопать яму.","","","","","","","","","","","","","","","",""